name,hostname,IC,disposition,period,rade,rade_est,rade_err1,rade_err2,radj,radj_est,radj_err1,radj_err2,masse,masse_est,masse_err1,masse_err2,massj,massj_est,massj_err1,massj_err2,tran_depth_ppm,tran_dur_hr,semi_au,eccen,insol,distance_pc,year_discovered,year_confirmed,discoverymethod,facility,st_mass,st_rad,st_teff,st_log_lum,Jmag,Kmag,ra,dec,flag_tran,flag_kepler,flag_k2,url
HD 2039 b,HD 2039,,Confirmed,1120.0,,12.728077075344418,,,,1.1355249313804934,,,1999.1507,,368.6828,-368.6828,6.290031534372912,,1.1600058155600281,-1.1600058155600281,,,2.2,0.71,0.3229,85.6922,2002,2002.0,Radial Velocity,Anglo-Australian Telescope,1.23,1.19,5945.0,0.1939,7.912,7.549,6.0851069,-56.649988,False,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HD 2039
HAT-P-8 b,HAT-P-8,,Confirmed,3.07634,15.6926,,1.45717,-1.45717,1.400002406702848,,0.13000022347955018,-0.13000022347955018,406.8224,,85.8141,-85.8141,1.2800064171696863,,0.2700013536217307,-0.2700013536217307,8300.0,3.9016058,0.04496,0.0,1519.9645,211.553,2008,2008.0,Transit,HATNet,1.27,1.57,6200.0,0.519,9.214,8.953,343.0414932,35.4471778,True,False,False,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-8
K2-43 b,K2-43,,Confirmed,3.471149,4.51,,0.44,-0.19,0.4023559419235719,,0.03925423823644603,-0.01695069378391988,,18.522606837513468,,,,0.05827863857724734,,,6650.0,2.0448,0.03784,0.07,49.0,182.536,2016,2016.0,Transit,K2,0.571,0.542,3840.6,-1.21241,12.422,11.577,169.117028,-3.9754405,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-43
Kepler-1753 b,Kepler-1753,,Confirmed,16.00460052,2.22678077,,,,0.19866041555890168,,,,,5.588949126971709,,,,0.017584800511866366,,,831.9,3.9475,0.1179,0.0,27.41,707.688,2011,2021.0,Transit,Kepler,0.86,0.769,5180.0,-0.55992,14.085,13.521,288.236664,46.6058744,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1753
Kepler-1176 b,Kepler-1176,,Confirmed,24.1738579,2.45,,0.63,-0.32,0.21857473563475635,,0.056204932020365916,-0.028548536899233482,,6.573084924286874,,,,0.020681238013660314,,,532.6,3.057,0.1589,0.0,26.087,864.699,2013,2016.0,Transit,Kepler,1.01,1.02,5844.0,-0.11691,13.76,13.31,297.919724,45.2742038,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1176
K2-126 b,K2-126,,Confirmed,7.385655,1.97,,0.12,-0.12,0.1757519302859061,,0.010705701337212555,-0.010705701337212555,,4.539295959580318,,,,0.014282222310510033,,,882.0,2.5872,0.0656,0.06,35.3,102.953,2017,2017.0,Transit,K2,0.69,0.65,4339.0,-0.87762,10.508,9.712,203.5467021,-13.5769705,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-126
Kepler-1263 b,Kepler-1263,,Confirmed,4.55139967,1.14,,0.28,-0.12,0.10170416270351927,,0.024979969786829297,-0.010705701337212555,,1.5543850369441659,,,,0.004890642260704112,,,188.70000000000002,2.491,0.0499,0.0,144.813,664.83,2013,2016.0,Transit,Kepler,0.84,0.8,5213.0,-0.41402,13.635,13.08,286.483626,46.7526182,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1263
Kepler-1416 b,Kepler-1416,,Confirmed,1.49514952,0.88,,0.33,-0.14,0.07850847647289207,,0.02944067867733453,-0.012489984893414649,,0.6146271325213927,,,,0.0019338332249993753,,,52.0,3.11,0.0257,0.0,2658.55,949.59,2014,2016.0,Transit,Kepler,1.09,1.15,6019.0,0.28393,12.942,12.537,298.6634624,43.8940593,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1416
Kepler-1542 c,Kepler-1542,,Confirmed,2.89223021,0.65,,0.09,-0.06,0.05798921557656801,,0.008029276002909416,-0.005352850668606277,,0.20750908747456087,,,,0.0006528966044850621,,,44.3,2.607,0.0387,0.0,786.082,399.114,2015,2016.0,Transit,Kepler,0.94,0.99,5564.0,0.07026,11.421,10.989,285.7284757,42.6544651,True,True,False,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1542
K2-85 b,K2-85,,Confirmed,0.68453862616,1.4,,0.2,-0.2,0.12489984893414648,,0.017842835562020928,-0.017842835562020928,3.2,,1.3,-1.3,0.010068325969619658,,0.004090257425157986,-0.004090257425157986,400.0,0.8184,0.013,0.24,800.0,97.2179,2016,2016.0,Transit,K2,0.7,0.71,4232.0,-0.81171,10.229,9.466,59.464829,18.4649505,True,False,True,https://exoplanetarchive.ipac.caltech.edu/overview/K2-85
