name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
55 Cnc e,0,0.73655,1.87500,384.67330,1.54390,7.99000,,0.01544,0.90500,0.94300,5172.00000,-0.19695,4.01500,2657.83220,1999.85602,83.80579,Confirmed
HD 219134 b,1,3.09293,1.60200,358.00000,0.94500,4.74000,,0.03876,0.81000,0.77800,4699.00000,-0.57741,3.26100,176.20000,1013.94756,37.62218,Confirmed
LHS 3844 b,2,0.46293,1.30300,4489.91190,0.52120,,2.25008,0.00622,0.15100,0.18900,3036.00000,-2.56543,9.14500,70.10000,805.94830,32.65684,Confirmed
HD 219134 c,6,6.76458,1.51100,318.00000,1.66000,4.36000,,0.06530,0.81000,0.77800,4699.00000,-0.57741,3.26100,62.10000,781.17941,18.40742,Confirmed
GJ 1252 b,7,0.51823,1.19300,831.89200,0.72400,1.32000,,0.00915,0.38100,0.39100,3458.00000,-1.70774,7.91500,233.00000,1088.71531,17.44649,Confirmed
GJ 9827 b,10,1.20897,1.44000,586.00000,1.25976,4.28000,,0.01890,0.60600,0.60200,4236.00000,-0.94152,7.19300,318.00000,1177.46763,15.43722,Confirmed
K2-141 b,11,0.28032,1.51000,507.00000,0.94000,4.97000,,0.00747,0.70800,0.68100,4570.00000,-0.75000,8.40100,3260.00000,2091.21929,18.19179,Confirmed
LTT 3780 b,14,0.76838,1.32500,1032.00000,0.78830,2.46000,,0.01195,0.38100,0.38000,3358.00000,-1.78252,8.20400,111.00000,912.52743,13.54085,Confirmed
HD 213885 b,16,1.00804,1.74500,200.00000,1.41000,8.83000,,0.02012,1.06800,1.10110,5978.00000,0.13862,6.41900,1882.94000,2125.20530,13.27879,Confirmed
L 168-9 b,18,1.40153,1.63000,593.75410,1.02000,4.07000,,0.02080,0.61400,0.60400,3842.00000,-1.14086,7.08200,149.37480,1000.72145,13.41788,Confirmed
HD 3167 b,19,0.95964,1.67000,294.00000,1.60900,4.97000,,0.01796,0.83700,0.88000,5261.00000,-0.27003,7.06600,1650.00000,1777.86677,12.85672,Confirmed
TOI-2290.01,20,0.38622,1.19888,437.63812,0.91224,,1.86186,0.00855,0.55969,0.56630,3863.00000,-1.19151,9.07200,879.43594,1515.69190,8.57019,Candidate
